species;m.visc;visc.std;body.length;length.sd;body.width;width.sd;volume;vol.sd;prob.length;forewing.length;forewing.sd;N;sp.in.tree;group;label;mean.slit;sd.slit;maximum;minimum
Agrius_cingulata;1.856464451;0.29251455;5.368;0.501417989;1.279278808;0.077348889;6.899741181;1.061674235;11.3;4.8;0.4;5;A_cingulata_Agrius_1;Sphinginae;1;0.17664;0.018785164;0.2064;0.1487
Ceratomia_catalpae;2.071109606;0.338289641;3.4;0.4;0.913333333;0.105987421;2.227549762;0.520559846;3.633333333;4.38;0.48;6;C_catalpae_Ceratoc_1;Sphinginae;2;0.1105;0.031154326;0.1644;0.0706
Dolba_hyloeus;1.485894853;0.116618466;3.4;0.141421356;0.96;0.089442719;2.460998021;0.331653976;4.5;2.83;0.29;5;D_hyloeus_Dolba_1;Sphinginae;3;0.055884;0.011286582;0.07171;0.03959
Enyo_lugubris;1.833423879;0.218376756;3.447619048;0.19136104;0.956190476;0.112715402;2.475699793;0.42924903;2.49;3.67;0.1;5;Enyo_lugubris_14150;Macroglossinae;4;0.104408;0.016872494;0.1301;0.07924
Eumorpha_pandorus;1.606563405;0.138687317;4.858333333;0.28173865;1.102534187;0.093862951;4.638326537;0.66385875;4.03;4.6;0.5;6;E_pandorus_Eumop_1;Macroglossinae;5;0.144416;0.037314086;0.1773;0.08248
Hemaris_diffinis;1.807761969;0.125486516;2.72;0.303315018;1.04;0.181659021;2.310603698;0.661260142;2.25;2.95;0.06;5;H_diffinis_Hemark_1;Macroglossinae;6;0.40396;0.044677493;0.4751;0.3438
Hyles_lineata;1.553657037;0.278812951;3.871666667;0.662854936;1.029812299;0.168861186;3.224808939;1.080889506;3.79;3.1;0.2;6;H_lineata_Hylesl_1;Macroglossinae;7;0.091354;0.01266863;0.1107;0.07216
Manduca_quinquemaculata;1.702466017;0.247124065;5.31375;0.446348278;1.231280703;0.132778875;6.327106512;1.213771593;10.04;5.4;0.3;7;M_quinquemaculatus_Manducaq_1;Sphinginae;8;0.1298;0.018617626;0.1542;0.1039
Manduca_rustica;1.467833081;0.163996571;5.476666667;0.274347711;1.555576605;0.154453176;10.40852036;1.554865425;8.84;5.99;0.1;5;M_rustica_Rust;Sphinginae;9;0.08687;0.009792424;0.0983;0.07293
Manduca_sexta;2.175301169;0.50018571;4.55;0.492950302;1.108333333;0.060800219;4.389773049;0.716402474;7.46;5.28;0.52;19;M_sexta_Manducas_1;Sphinginae;10;0.109416;0.028463496;0.1532;0.07128
Paratrea_plebeja;1.511576043;0.1744442;3.433333333;0.350238014;0.996666667;0.10984838;2.678586765;0.568468;5.54;3.13;0.24;5;P_plebja_Paratrea_1;Sphinginae;11;0.25914;0.077200922;0.4044;0.182
Xylophanes_tersa;1.77418138;0.293147057;4.012;0.211589225;0.847359812;0.062386522;2.262489285;0.285896478;3.22;3.4;0.2;4;X_tersa_Xyloter_1;Macroglossinae;12;0.15458;0.034771563;0.1943;0.1025
